time,open,high,low,close
2021-06-14T04:00:00-04:00,14018.25,14029.5,14012,14027
2021-06-14T05:00:00-04:00,14027,14033.5,14023.25,14030.75
2021-06-14T06:00:00-04:00,14030.5,14045.5,14025.5,14042
2021-06-14T07:00:00-04:00,14042,14052,14030.5,14036.75
2021-06-14T08:00:00-04:00,14036.75,14040.5,14011.25,14018.75
2021-06-14T09:00:00-04:00,14018.25,14044.5,13965.25,14028.5
2021-06-14T10:00:00-04:00,14029,14033.25,13988.5,14020.25
2021-06-14T11:00:00-04:00,14020.25,14042.5,14015,14040
2021-06-14T12:00:00-04:00,14040.25,14061.75,14036.25,14048
2021-06-14T13:00:00-04:00,14048.25,14072.25,14044.75,14066.75
2021-06-14T14:00:00-04:00,14067.25,14072.75,14056,14063.5
2021-06-14T15:00:00-04:00,14063,14131.25,14052.75,14130.75
2021-06-14T16:00:00-04:00,14130.5,14133.5,14115.25,14117
2021-06-14T18:00:00-04:00,14111,14115.5,14103.25,14109.5
2021-06-14T19:00:00-04:00,14109.75,14115,14106,14106.5
2021-06-14T20:00:00-04:00,14107,14147.5,14106.25,14142
2021-06-14T21:00:00-04:00,14142,14155.25,14128.75,14130.5
2021-06-14T22:00:00-04:00,14130.75,14140.5,14121.75,14132.25
2021-06-14T23:00:00-04:00,14132,14141.25,14129,14135
2021-06-15T00:00:00-04:00,14135,14136.5,14128,14132.5
2021-06-15T01:00:00-04:00,14132.5,14138,14124.5,14138
2021-06-15T02:00:00-04:00,14137.25,14146.25,14127,14138.25
2021-06-15T03:00:00-04:00,14138.5,14154.25,14133.25,14141.25
2021-06-15T04:00:00-04:00,14141.25,14144,14133.5,14139.25
2021-06-15T05:00:00-04:00,14138.5,14139.75,14127.25,14128.5
2021-06-15T06:00:00-04:00,14128.5,14140.75,14120.75,14140.5
2021-06-15T07:00:00-04:00,14140.25,14145.5,14132.25,14139
2021-06-15T08:00:00-04:00,14138.5,14145.25,14109.5,14114
2021-06-15T09:00:00-04:00,14113.75,14122.5,14063.75,14097.25
2021-06-15T10:00:00-04:00,14097.5,14103.75,14049.5,14058.5
2021-06-15T11:00:00-04:00,14058.5,14075,14027.5,14056
2021-06-15T12:00:00-04:00,14055.75,14065.25,14031,14037.5
2021-06-15T13:00:00-04:00,14038.25,14042.75,14022,14039.75
2021-06-15T14:00:00-04:00,14039.25,14046.75,14007.5,14022.75
2021-06-15T15:00:00-04:00,14022.75,14045.25,14000.75,14027.25
2021-06-15T16:00:00-04:00,14027.25,14041,14018.75,14037.75
2021-06-15T18:00:00-04:00,14039,14042.25,14032,14034.75
2021-06-15T19:00:00-04:00,14034,14038.5,14025.75,14031.75
2021-06-15T20:00:00-04:00,14031.75,14040.5,14027.75,14028.75
